Learning Rate,Batch Size,Num Epochs,Optimizer,Rotate,Scale Min,Scale Max,Min Ratio,Max Ratio,Final Train Loss,Final Test Loss,Final Accuracy,Final Macro ROC AUC,Final Micro ROC AUC
0.0001,32,5,adam,30,0.8,1.0,0.75,1.33,0.7147071351651021,0.3813452373924654,0.8847956361401352,0.980827708163233,0.9827976664503526
0.0001,32,5,adam,15,0.9,1.0,0.85,1.23,0.5886729068956521,0.35641728752551266,0.8913644744929318,0.982617391403323,0.9844581198932357
0.0001,32,5,sgd,30,0.8,1.0,0.75,1.33,1.3124960767129623,0.7715203491856484,0.7686309157959434,0.9473367299836226,0.9547486275625036
0.0001,32,5,sgd,15,0.9,1.0,0.85,1.23,1.3532397564581908,0.9286524992097508,0.7004840196681008,0.930528843658973,0.9381909890499398
0.0001,32,10,adam,30,0.8,1.0,0.75,1.33,0.5161324531685838,0.27670698508354824,0.9178318992009834,0.9882411970579454,0.9888824598521538
0.0001,32,10,adam,15,0.9,1.0,0.85,1.23,0.4352358190204509,0.26510908035218206,0.9203288260602336,0.989496813065369,0.9900435552228103
0.0001,32,10,sgd,30,0.8,1.0,0.75,1.33,0.8938125889634462,0.4978089436010002,0.8465734480639213,0.9697329024980748,0.974125697569161
0.0001,32,10,sgd,15,0.9,1.0,0.85,1.23,0.7906129254329153,0.5084263053184938,0.843000921942225,0.9674234027090577,0.9728058830893876
0.0001,32,20,adam,30,0.8,1.0,0.75,1.33,0.41892371994146355,0.22330878351194927,0.9346573448063922,0.9918647258343066,0.9921092425550159
0.0001,32,20,adam,15,0.9,1.0,0.85,1.23,0.3539557906412662,0.21795569698118059,0.9366164720344192,0.9926893561019717,0.9929248432367409
0.0001,32,20,sgd,30,0.8,1.0,0.75,1.33,0.6397450801847283,0.3655408574657226,0.8901736324523664,0.9816829114121054,0.9821613617434943
0.0001,32,20,sgd,15,0.9,1.0,0.85,1.23,0.5321582557397638,0.326005577379769,0.9003149969268592,0.9839485531642017,0.9853881274763201
0.0001,64,5,adam,30,0.8,1.0,0.75,1.33,0.7899688479681723,0.43120306854751833,0.8690073755377996,0.9790370406934137,0.9803574741932939
0.0001,64,5,adam,15,0.9,1.0,0.85,1.23,0.6738545002114825,0.4300989934428611,0.8676244622003688,0.9781807415779478,0.9800861079017903
0.0001,64,5,sgd,30,0.8,1.0,0.75,1.33,2.121579083500991,1.869980999527165,0.3844114935464044,0.763314357067714,0.7812586264350767
0.0001,64,5,sgd,15,0.9,1.0,0.85,1.23,1.8250559204009944,1.568067680998575,0.46296865396435155,0.8233007924360072,0.8439633068787554
0.0001,64,10,adam,30,0.8,1.0,0.75,1.33,0.5772607445586717,0.3150236715336104,0.905001536570375,0.9860344001613619,0.9871850014007315
0.0001,64,10,adam,15,0.9,1.0,0.85,1.23,0.4862418271828947,0.2886665758267228,0.9126075599262446,0.9877830249242617,0.988882903040636
0.0001,64,10,sgd,30,0.8,1.0,0.75,1.33,1.192532596057159,0.7416942402244493,0.7705516287645974,0.9505835313635285,0.9564354432598121
0.0001,64,10,sgd,15,0.9,1.0,0.85,1.23,1.017596446322562,0.6593751090164559,0.792178856791641,0.9579992524472531,0.9629158946956201
0.0001,64,20,adam,30,0.8,1.0,0.75,1.33,0.451093347650428,0.22532194661301463,0.9347341733251383,0.9908466875587431,0.9914305061991481
0.0001,64,20,adam,15,0.9,1.0,0.85,1.23,0.3789762316442473,0.23393266269575613,0.9310079901659496,0.9908043505526676,0.9914505213321048
0.0001,64,20,sgd,30,0.8,1.0,0.75,1.33,0.8308567778252097,0.4752029143914544,0.8542562999385371,0.9723972415936071,0.9759441150775205
0.0001,64,20,sgd,15,0.9,1.0,0.85,1.23,0.7245275099985464,0.47351493728541627,0.8552550706822373,0.971342685809258,0.9751688666005123
0.001,32,5,adam,30,0.8,1.0,0.75,1.33,0.47200694492973355,0.24423191905781372,0.9271665642286416,0.9919556457924863,0.9920850445950646
0.001,32,5,adam,15,0.9,1.0,0.85,1.23,0.40430833405314837,0.23592029813292645,0.9320835894283959,0.9919828007005407,0.9923264946802586
0.001,32,5,sgd,30,0.8,1.0,0.75,1.33,0.6039651011275412,0.319254484865128,0.9028119237861094,0.9836032654191534,0.9854234062140741
0.001,32,5,sgd,15,0.9,1.0,0.85,1.23,0.49069928187535317,0.2922046693472114,0.9117240319606638,0.9855883771026239,0.986917405818483
0.001,32,10,adam,30,0.8,1.0,0.75,1.33,0.396732503662138,0.22048579382421837,0.9363091579594346,0.9939026434995137,0.9940235657721588
0.001,32,10,adam,15,0.9,1.0,0.85,1.23,0.33261104822077475,0.2014085431131294,0.9436846957590658,0.9944053139276308,0.9946488867665423
0.001,32,10,sgd,30,0.8,1.0,0.75,1.33,0.4569722497990298,0.23647295316470746,0.9312384757221881,0.989123266202952,0.989395238845583
0.001,32,10,sgd,15,0.9,1.0,0.85,1.23,0.3917694264201358,0.23139484121958456,0.9320067609096496,0.9892153452127527,0.9901527425673301
0.001,32,20,adam,30,0.8,1.0,0.75,1.33,0.35545692903489917,0.1887226005174055,0.9461432083589428,0.9954096076874673,0.9955822796668999
0.001,32,20,adam,15,0.9,1.0,0.85,1.23,0.28050724925457066,0.18476620381892514,0.9491011063306699,0.9958144511108925,0.9960246130886834
0.001,32,20,sgd,30,0.8,1.0,0.75,1.33,0.3716880336533988,0.19780271244235337,0.9441072526121697,0.9915592080589375,0.9917783518529518
0.001,32,20,sgd,15,0.9,1.0,0.85,1.23,0.31600968907688903,0.18928695003775517,0.9470651505838967,0.9922037181247166,0.9925837100110787
0.001,64,5,adam,30,0.8,1.0,0.75,1.33,0.4748351074332233,0.2496934450009531,0.9277811923786109,0.9908347279659335,0.9908898629801172
0.001,64,5,adam,15,0.9,1.0,0.85,1.23,0.39832977964888494,0.2512854954516126,0.9277427781192379,0.9907824537156256,0.9912034741682509
0.001,64,5,sgd,30,0.8,1.0,0.75,1.33,0.7238526148827316,0.3718665260684285,0.8874462200368777,0.9804731104627129,0.9823359576741758
0.001,64,5,sgd,15,0.9,1.0,0.85,1.23,0.5836275486576505,0.3522946640336543,0.8920943454210203,0.9809658305869942,0.9831751127661694
0.001,64,10,adam,30,0.8,1.0,0.75,1.33,0.38542731901443683,0.20236702761052208,0.9417255685310387,0.9937926381164381,0.9940450113889898
0.001,64,10,adam,15,0.9,1.0,0.85,1.23,0.32798140497967665,0.2062057355162516,0.9405731407498463,0.9936952011753595,0.9938276156332956
0.001,64,10,sgd,30,0.8,1.0,0.75,1.33,0.5443236801822112,0.2944523002723511,0.9098033189920098,0.9857975654986246,0.9870596298064547
0.001,64,10,sgd,15,0.9,1.0,0.85,1.23,0.42647176895079136,0.2485812603328972,0.9272433927473879,0.9884907595252453,0.9895749199664892
0.001,64,20,adam,30,0.8,1.0,0.75,1.33,0.3423189406181527,0.18499197561010097,0.9483328211432084,0.9947898661385857,0.9949375991404272
0.001,64,20,adam,15,0.9,1.0,0.85,1.23,0.284468554549212,0.18161627438024638,0.9517132759680393,0.9950400037418315,0.9952327353698572
0.001,64,20,sgd,30,0.8,1.0,0.75,1.33,0.41638969449106783,0.23060513723925377,0.9316226183159189,0.9899250615914413,0.9899780926112675
0.001,64,20,sgd,15,0.9,1.0,0.85,1.23,0.3577600455895782,0.2186573163471219,0.9361939151813153,0.9907752302921891,0.9912417986585919
